launcher,date,payload,payload_detail,orbit,location,status
Soyuz 2.1b/Fregat,2025-09-13T02:10:00Z,Glonass-K1 No. 18 (Kosmos 2595) & Kosmos 2596,Navigation,Medium Earth Orbit,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Successful
Falcon 9,2025-09-13T17:55:00Z,Starlink Group 17-10,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-09-14T22:11:00Z,Cygnus CRS-2 NG-23 (S.S. William “Willie” C. McCool),Resupply,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Long March 2C/YZ-1S,2025-09-16T01:06:00Z,SatNet test satellites,Communications,Low Earth Orbit,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-09-18T09:30:00Z,Starlink Group 10-61,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
New Shepard,2025-09-18T13:00:00Z,NS-35,Suborbital,Suborbital,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",Successful
Falcon 9,2025-09-19T16:31:00Z,Starlink Group 17-12,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-09-21T10:53:00Z,Starlink Group 10-27,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-09-22T17:38:00Z,NROL-48,Government/Top Secret,Unknown,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Electron,2025-09-23T00:00:00Z,JENNA,Government/Top Secret,Suborbital,"Rocket Lab Launch Complex 2 (Launch Area 0 C) | Wallops Flight Facility, Virginia, USA",Successful
Smart Dragon 3,2025-09-24T07:56:00Z,Geely Constellation Group 06,Communications,Low Earth Orbit,Oriental Spaceport mobile launch ship | Sea Launch,Successful
Falcon 9,2025-09-24T11:30:00Z,IMAP & others,Heliophysics,Heliocentric L1,"Launch Complex 39A | Kennedy Space Center, FL, USA",Successful
Falcon 9,2025-09-25T08:39:00Z,Starlink Group 10-15,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Atlas V 551,2025-09-25T12:09:00Z,Project Kuiper (KA-03),Communications,Low Earth Orbit,"Space Launch Complex 41 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-09-26T04:26:00Z,Starlink Group 17-11,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 4C,2025-09-26T19:28:00Z,Fengyun-3H,Earth Science,Sun-Synchronous Orbit,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Long March 6A,2025-09-27T12:40:00Z,SatNet LEO Group 11,Communications,Polar Orbit,"Launch Complex 9A | Taiyuan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-09-29T02:04:00Z,Starlink Group 11-20,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 2D,2025-09-29T03:00:00Z,Shiyan 30 01-02,Government/Top Secret,Low Earth Orbit,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Successful
Electron,2025-10-01T00:28:00Z,JUSTIN,Government/Top Secret,Suborbital,"Rocket Lab Launch Complex 2 (Launch Area 0 C) | Wallops Flight Facility, Virginia, USA",Successful
Falcon 9,2025-10-03T14:06:00Z,Starlink Group 11-39,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-10-07T06:46:00Z,Starlink Group 10-59,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-10-08T03:54:00Z,Starlink Group 11-17,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
New Shepard,2025-10-08T13:40:00Z,NS-36,Tourism,Suborbital,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",Successful
Gravity-1,2025-10-11T02:20:00Z,3 satellites,Earth Science,Sun-Synchronous Orbit,Haiyang Spaceport | Sea Launch,Successful
Long March 2D,2025-10-13T10:00:00Z,Shiyan 31,Government/Top Secret,Polar Orbit,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Starship,2025-10-13T23:23:00Z,Flight 11,Test Flight,Suborbital,"Orbital Launch Pad 1 | SpaceX Starbase, TX, USA",Successful
Falcon 9,2025-10-14T01:58:00Z,Project Kuiper (KF-03),Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Electron,2025-10-14T16:33:00Z,Owl New World (StriX Launch 7),Earth Science,Low Earth Orbit,"Rocket Lab Launch Complex 1A | Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Successful
Falcon 9,2025-10-15T23:06:00Z,SDA Tranche 1 Transport Layer C,Government/Top Secret,Polar Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 8A,2025-10-16T01:33:00Z,SatNet LEO Group 12,Communications,Low Earth Orbit,"Commercial LC-1 | Wenchang Space Launch Site, People's Republic of China",Successful
Falcon 9,2025-10-16T09:27:00Z,Starlink Group 10-52,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Long March 6A,2025-10-17T07:08:00Z,G60 Polar Group 18,Communications,Polar Orbit,"Launch Complex 9A | Taiyuan Satellite Launch Center, People's Republic of China",Successful
Kinetica 1,2025-10-19T03:33:00Z,PRSC-HS1 & AIRSAT-03/04,Earth Science,Sun-Synchronous Orbit,"Launch Area 130 | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-10-19T17:39:00Z,Starlink Group 10-17,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-10-19T19:24:00Z,Starlink Group 11-19,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-10-22T14:16:00Z,Starlink Group 11-5,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 5,2025-10-23T14:30:00Z,TJSW-20,Government/Top Secret,Geostationary Transfer Orbit,"101 | Wenchang Space Launch Site, People's Republic of China",Successful
Falcon 9,2025-10-24T01:30:00Z,SpainSat NG II,Communications,Geostationary Transfer Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-10-25T14:20:00Z,Starlink Group 11-12,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
H3-24,2025-10-26T00:00:00Z,HTV-X1,Resupply,Low Earth Orbit,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",Successful
Long March 3,2025-10-26T03:55:00Z,Gaofen-14 02,Earth Science,Sun-Synchronous Orbit,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-10-26T15:00:00Z,Starlink Group 10-21,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-10-28T00:43:00Z,Starlink Group 11-21,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-10-29T16:35:00Z,Starlink Group 10-37,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-11-02T05:09:00Z,Bandwagon 4 (Dedicated Mid-Inclination Rideshare),Dedicated Rideshare,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
LVM-3 (GSLV Mk III),2025-11-02T11:56:00Z,CMS-03 (GSAT-7R),Communications,Geostationary Transfer Orbit,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",Successful
Long March 7A,2025-11-03T03:47:00Z,Yaogan 46,Government/Top Secret,Medium Earth Orbit,"201 | Wenchang Space Launch Site, People's Republic of China",Successful
Ariane 62,2025-11-04T21:02:00Z,Sentinel-1D,Earth Science,Sun-Synchronous Orbit,"Ariane Launch Area 4 | Guiana Space Centre, French Guiana",Successful
Electron,2025-11-05T19:51:00Z,The Nation God Navigates (iQPS Launch 5),Earth Science,Low Earth Orbit,"Rocket Lab Launch Complex 1B | Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Successful
Falcon 9,2025-11-06T01:31:00Z,Starlink Group 6-81,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-11-06T21:13:00Z,Starlink Group 11-14,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 11,2025-11-08T21:01:00Z,Shiyan 32 01-03,Government/Top Secret,Low Earth Orbit,Oriental Spaceport mobile launch ship | Haiyang Oriental Spaceport,Successful
Kinetica 1,2025-11-09T03:32:00Z,Chutian-2 01 & 02,Earth Science,Sun-Synchronous Orbit,"Launch Area 130 | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-11-09T08:10:00Z,Starlink Group 10-51,Communications,Low Earth Orbit,"Launch Complex 39A | Kennedy Space Center, FL, USA",Successful
Long March 12,2025-11-10T02:41:00Z,SatNet LEO Group 13,Communications,Low Earth Orbit,"Commercial LC-2 | Wenchang Space Launch Site, People's Republic of China",Successful
Ceres-1,2025-11-10T04:02:00Z,Jilin-1 High Resolution-04C and others,Earth Science,Sun-Synchronous Orbit,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Failure
Falcon 9,2025-11-11T03:21:00Z,Starlink Group 6-87,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
New Glenn,2025-11-13T20:55:00Z,EscaPADE,Planetary Science,Mars Orbit,"Launch Complex 36A | Cape Canaveral SFS, FL, USA",Successful
Atlas V 551,2025-11-14T03:04:00Z,ViaSat-3 F2 (ViaSat-3 EMEA),Communications,Geostationary Transfer Orbit,"Space Launch Complex 41 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-11-15T03:08:00Z,Starlink Group 6-89,Communications,Low Earth Orbit,"Launch Complex 39A | Kennedy Space Center, FL, USA",Successful
Falcon 9,2025-11-15T06:44:00Z,Starlink Group 6-85,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-11-17T05:21:00Z,Sentinel-6B,Earth Science,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Electron,2025-11-18T13:00:00Z,Prometheus Run (VAN),Government/Top Secret,Suborbital,"Rocket Lab Launch Complex 2 (Launch Area 0 C) | Wallops Flight Facility, Virginia, USA",Successful
Falcon 9,2025-11-19T00:12:00Z,Starlink Group 6-94,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Long March 2C,2025-11-19T04:01:00Z,Shijian 30 A-C,Government/Top Secret,Low Earth Orbit,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Electron,2025-11-20T12:43:00Z,Follow My Speed (BlackSky Gen-3 3),Earth Science,Low Earth Orbit,"Rocket Lab Launch Complex 1A | Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Successful
Falcon 9,2025-11-21T03:39:00Z,Starlink Group 6-78,Communications,Low Earth Orbit,"Launch Complex 39A | Kennedy Space Center, FL, USA",Successful
Long March 3B/E,2025-11-21T10:55:00Z,TJSW-21,Government/Top Secret,Elliptical Orbit,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-11-22T07:53:00Z,Starlink Group 6-79,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Falcon 9,2025-11-23T08:48:00Z,Starlink Group 11-30,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Long March 2F/G,2025-11-25T04:11:00Z,Shenzhou 22,Human Exploration,Low Earth Orbit,"Launch Area 4 (SLS-1 / 921) | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Angara 1.2,2025-11-25T13:42:00Z,"3 x Rodnik (Kosmos 2597, 2598, 2599)",Government/Top Secret,Low Earth Orbit,"35/1 | Plesetsk Cosmodrome, Russian Federation",Successful
Nuri,2025-11-26T16:13:00Z,CAS500-3,Earth Science,Sun-Synchronous Orbit,"LC-2 | Naro Space Center, South Korea",Successful
Soyuz 2.1a,2025-11-27T09:27:00Z,Soyuz MS-28,Human Exploration,Low Earth Orbit,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Successful
Falcon 9,2025-11-28T18:44:00Z,Transporter 15 (Dedicated SSO Rideshare),Dedicated Rideshare,Sun-Synchronous Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
